entity_id	perm_id
0	0
0	21
1	1
1	2
1	3
1	4
1	9
1	16
1	17
1	18
1	19
1	20
1	22
1	23
2	1
2	2
2	3
2	4
2	6
2	7
2	9
2	10
2	12
2	13
2	14
2	15
2	18
2	19
2	20
2	22
2	23
2	24
3	1
3	2
3	3
3	4
3	6
3	7
3	8
3	9
3	10
3	12
3	13
3	15
3	18
3	19
3	20
3	22
3	23
4	1
4	2
4	3
4	4
4	20
5	1
5	2
5	3
5	4
5	20
6	1
6	2
6	3
6	4
6	20
7	1
7	2
7	3
7	4
7	11
8	1
8	2
8	3
8	4
9	1
9	2
9	3
9	4
10	1
10	2
10	3
10	4
11	1
11	2
11	3
11	4
12	2
12	3
12	4
13	2
13	3
13	4
14	1
14	2
14	3
14	4
15	1
15	2
15	3
15	4
16	1
16	2
16	3
17	1
17	2
17	3
18	1
18	2
18	3
20	2
20	4
20	11
21	1
21	2
21	3
21	4
22	1
22	2
22	3
22	4
23	1
23	2
23	3
23	4
24	1
24	2
24	3
24	4
25	1
25	2
25	3
25	4
26	1
26	2
26	3
26	4
27	1
27	2
27	3
27	4
28	1
28	2
28	3
28	4
29	1
29	2
29	3
29	4
30	2
30	11
31	1
31	2
31	3
31	4
32	1
32	2
32	3
32	4
33	1
33	2
33	3
33	4
34	1
34	2
34	3
34	4
35	3
35	4
36	1
36	2
36	3
36	4
37	1
37	2
37	3
37	4
38	1
38	2
38	3
38	4
44	1
44	2
44	3
44	4
45	4
46	1
46	2
46	3
46	4
47	1
47	2
47	3
47	4
48	1
48	2
48	3
48	4
49	1
49	2
49	3
49	4
50	1
50	2
50	3
50	4
51	4
52	1
52	2
52	3
52	4
